Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
20.175,1926.92,1926.92,-15.503,16.611,-9.614,9.648,233.781,0.152,233.781,89.963,5.965,0.816,28.61,-80.598,3.175,-2.642e-4,0.286,8.253e-4,-66.518,89.931,1169.027,343,0.162,0.001,9.786,94.539,70.447,2.409,0,0,0.566,0.46,0.263,0.077,0.12,0.473,0.664,1.6,4.942e-5,0,0,0,0,3.488e-5,1.818,90,2.475,802.349,0.001,332.799,0.052,1.277e6,10,78.54,0.05,0.087,0.002
20.225,1926.133,1926.133,-15.982,17.046,-9.544,9.57,234.078,0.152,234.078,89.963,5.927,0.702,28.61,-80.598,2.472,-2.642e-4,3.342,0.002,-66.425,89.931,1169.027,343,0.162,0.001,9.786,95.014,70.447,2.457,0,0,0.59,0.46,0.263,0.077,0.12,0.468,0.509,1.245,-3.885e-4,0,0,0,0,0.005,1.884,90,2.48,802.429,0.001,332.802,0.053,1.31e6,10,78.54,0.05,0.087,0.002
20.275,1925.322,1925.322,-16.457,17.482,-9.447,9.462,234.373,0.153,234.374,89.963,5.895,0.523,28.61,-80.598,1.514,-2.638e-4,5.731,0.001,-66.194,89.931,1169.027,343,0.162,0.001,9.786,95.689,70.447,2.524,0,0,0.612,0.46,0.263,0.077,0.12,0.463,0.304,0.755,-2.631e-4,0,0,0,0,0.013,1.891,90,2.485,802.511,0.001,332.805,0.055,1.34e6,10,78.54,0.05,0.088,0.002
20.325,1924.487,1924.487,-16.927,17.917,-9.334,9.339,234.668,0.153,234.668,89.963,5.875,0.315,28.61,-80.598,0.45,-2.638e-4,6.802,-0.003,-65.875,89.93,1169.027,343,0.162,0.001,9.786,96.479,70.447,2.603,0,0,0.635,0.46,0.263,0.077,0.12,0.46,0.088,0.212,-2.558e-4,0,0,0,0,0.017,1.866,90,2.491,802.595,0.001,332.808,0.056,1.37e6,10,78.54,0.05,0.088,0.002
20.375,1923.629,1923.629,-17.391,18.353,-9.208,9.209,234.961,0.154,234.961,89.962,5.864,0.096,28.61,-80.598,0.622,-2.638e-4,-6.736,-0.011,-65.531,89.93,1169.027,343,0.162,0.001,9.786,96.349,70.447,2.59,0,0,0.663,0.46,0.263,0.077,0.12,0.461,0.122,0.333,4.062e-5,0,0,0,0,-0.016,1.823,90,2.496,802.682,0.001,332.812,0.057,1.4e6,10,78.54,0.05,0.088,0.002
20.425,1922.748,1922.748,-17.847,18.787,-9.071,9.072,235.254,0.154,235.254,89.962,5.866,0.133,28.61,-80.598,1.618,-2.639e-4,-5.121,-0.008,-65.229,89.929,1169.027,343,0.162,0.001,9.786,95.615,70.447,2.517,0,0,0.696,0.46,0.263,0.077,0.12,0.464,0.326,0.829,-3.514e-4,0,0,0,0,-0.009,1.767,90,2.502,802.771,0.001,332.815,0.058,1.429e6,10,78.54,0.05,0.088,0.002
20.475,1921.844,1921.844,-18.298,19.219,-8.998,9,235.548,0.155,235.548,89.962,5.876,0.213,28.61,-80.598,1.915,-2.639e-4,-2.505,-0.007,-65.036,89.928,1169.027,343,0.162,0.001,9.786,95.404,70.447,2.496,0,0,0.733,0.46,0.263,0.077,0.12,0.465,0.389,0.972,2.472e-4,0,0,0,0,-0.002,1.91,90,2.508,802.863,0.001,332.819,0.06,1.465e6,10,78.54,0.05,0.088,0.002
20.525,1920.918,1920.918,-18.747,19.65,-8.944,8.947,235.842,0.155,235.842,89.962,5.886,0.253,28.61,-80.598,2.028,-2.637e-4,0.223,-0.007,-64.978,89.927,1169.027,343,0.162,0.001,9.786,95.324,70.447,2.488,0,0,0.77,0.46,0.263,0.077,0.12,0.466,0.413,1.027,3.417e-4,0,0,0,0,1.53e-5,2.069,90,2.514,802.956,0.001,332.822,0.061,1.5e6,10,78.54,0.05,0.088,0.003
20.575,1919.97,1919.97,-19.193,20.079,-8.853,8.861,236.137,0.156,236.137,89.962,5.902,0.378,28.61,-80.598,2.429,-2.635e-4,3.525,-0.007,-65.069,89.926,1169.027,343,0.162,0.001,9.786,95.046,70.447,2.46,0,0,0.805,0.46,0.263,0.077,0.121,0.468,0.499,1.224,4.253e-4,0,0,0,0,0.004,2.049,90,2.52,803.052,0.001,332.826,0.062,1.53e6,10,78.54,0.05,0.089,0.003
20.625,1918.999,1918.999,-19.633,20.507,-8.794,8.806,236.432,0.156,236.432,89.962,5.923,0.446,28.61,-80.598,2.588,-2.642e-4,7.545,-0.007,-65.344,89.926,1169.027,343,0.162,0.001,9.786,94.937,70.447,2.449,0,0,0.839,0.46,0.263,0.077,0.121,0.469,0.534,1.292,2.442e-4,0,0,0,0,0.016,2.036,90,2.527,803.151,0.001,332.83,0.064,1.561e6,10,78.54,0.049,0.089,0.003
20.674,1918.026,1918.026,-20.064,20.926,-8.778,8.788,236.723,0.157,236.723,89.962,5.945,0.433,28.61,-80.598,2.464,-2.638e-4,11.464,-0.008,-65.81,89.925,1169.027,343,0.162,0.001,9.786,95.023,70.447,2.458,0,0,0.87,0.46,0.263,0.077,0.121,0.468,0.507,1.209,-4.673e-4,0,0,0,0,0.036,2.051,90,2.533,803.249,0.001,332.834,0.065,1.591e6,10,78.54,0.05,0.089,0.003
20.724,1917.012,1917.012,-20.503,21.353,-8.774,8.783,237.021,0.157,237.021,89.962,5.965,0.399,28.61,-80.598,2.272,-2.646e-4,15.32,-0.007,-66.481,89.925,1169.027,343,0.162,0.001,9.786,95.155,70.447,2.471,0,0,0.901,0.46,0.263,0.077,0.121,0.467,0.465,1.087,-1.72e-4,0,0,0,0,0.062,2.006,90,2.539,803.352,0.001,332.838,0.066,1.621e6,10,78.54,0.05,0.089,0.003
20.774,1915.976,1915.976,-20.942,21.78,-8.823,8.826,237.32,0.158,237.32,89.962,5.983,0.246,28.61,-80.598,1.721,-2.648e-4,18.698,-0.008,-67.335,89.926,1169.027,343,0.162,0.001,9.786,95.544,70.447,2.51,0,0,0.931,0.46,0.263,0.077,0.121,0.464,0.348,0.783,2.303e-4,0,0,0,0,0.089,2.033,90,2.546,803.457,0.001,332.842,0.067,1.652e6,10,78.54,0.05,0.089,0.003
20.824,1914.918,1914.918,-21.385,22.208,-8.886,8.886,237.619,0.158,237.619,89.962,5.989,0.044,28.61,-80.598,1.049,-2.648e-4,20.762,-0.013,-68.327,89.926,1169.027,343,0.162,0.001,9.786,96.033,70.447,2.559,0,0,0.961,0.46,0.263,0.077,0.121,0.462,0.208,0.427,2.212e-4,0,0,0,0,0.106,2.06,90,2.553,803.564,0.001,332.846,0.069,1.684e6,10,78.54,0.05,0.089,0.003
20.874,1913.837,1913.837,-21.831,22.637,-8.957,8.96,237.918,0.159,237.918,89.962,5.987,0.21,28.61,-80.598,0.259,-2.647e-4,21.772,-0.057,-69.396,89.926,1169.027,343,0.162,0.001,9.786,96.631,70.447,2.618,0,0,0.995,0.46,0.263,0.077,0.121,0.46,0.05,0.02,-9.743e-5,0,0,0,0,0.112,2.108,90,2.56,803.673,0.001,332.85,0.07,1.716e6,10,78.54,0.05,0.089,0.003
20.924,1912.734,1912.734,-22.281,23.066,-9.036,9.052,238.217,0.159,238.217,89.962,5.967,0.532,28.61,-80.598,0.667,-2.647e-4,-20.841,-0.03,-70.469,89.927,1169.027,343,0.162,0.001,9.786,96.319,70.447,2.587,0,0,1.036,0.46,0.263,0.077,0.121,0.461,0.131,0.438,2.703e-4,0,0,0,0,-0.099,2.23,90,2.567,803.785,0.001,332.855,0.071,1.75e6,10,78.54,0.05,0.09,0.003
20.974,1911.609,1911.609,-22.734,23.496,-9.074,9.106,238.515,0.16,238.515,89.962,5.934,0.769,28.61,-80.598,1.268,-2.645e-4,-18.43,-0.014,-71.456,89.928,1169.027,343,0.162,0.001,9.786,95.873,70.447,2.543,0,0,1.077,0.46,0.263,0.077,0.121,0.463,0.253,0.719,3.859e-4,0,0,0,0,-0.075,2.256,90,2.575,803.899,0.001,332.859,0.073,1.781e6,10,78.54,0.05,0.09,0.003
21.024,1910.461,1910.461,-23.188,23.925,-9.086,9.136,238.81,0.16,238.811,89.962,5.891,0.948,28.61,-80.598,1.666,-2.643e-4,-15.041,-0.008,-72.296,89.929,1169.027,343,0.162,0.001,9.786,95.586,70.447,2.514,0,0,1.119,0.46,0.263,0.077,0.121,0.464,0.336,0.893,-4.412e-4,0,0,0,0,-0.048,2.261,90,2.582,804.015,0.001,332.864,0.074,1.812e6,10,78.54,0.05,0.09,0.003
21.074,1909.29,1909.29,-23.642,24.353,-9.074,9.134,239.104,0.161,239.104,89.961,5.841,1.05,28.61,-80.598,1.847,-2.631e-4,-10.957,-0.005,-72.948,89.93,1169.027,343,0.162,0.001,9.786,95.457,70.447,2.501,0,0,1.158,0.46,0.263,0.077,0.121,0.465,0.374,0.96,-9.667e-5,0,0,0,0,-0.025,2.253,90,2.59,804.133,0.001,332.868,0.075,1.842e6,10,78.54,0.047,0.09,0.003
21.121,1908.161,1908.161,-24.071,24.758,-9.019,9.072,239.379,0.161,239.379,89.961,5.791,0.982,28.61,-80.598,1.638,-2.625e-4,-7.02,-8.891e-4,-73.372,89.931,1169.027,343,0.162,0.001,9.786,95.607,70.447,2.516,0,0,1.19,0.46,0.263,0.077,0.121,0.464,0.33,0.841,-1.168e-4,0,0,0,0,-0.01,2.154,90,2.597,804.248,0.001,332.873,0.076,1.869e6,10,78.54,0.05,0.09,0.003
21.171,1906.946,1906.946,-24.52,25.184,-8.95,8.992,239.668,0.162,239.668,89.961,5.747,0.861,28.61,-80.598,1.312,-2.627e-4,-3.71,0.002,-73.637,89.931,1169.027,343,0.162,0.001,9.786,95.843,70.447,2.54,0,0,1.223,0.46,0.263,0.077,0.121,0.463,0.262,0.669,-2.932e-4,0,0,0,0,-0.003,2.067,90,2.605,804.371,0.001,332.877,0.077,1.898e6,10,78.54,0.05,0.09,0.003
21.221,1905.709,1905.709,-24.966,25.609,-8.898,8.935,239.954,0.162,239.954,89.961,5.705,0.808,28.61,-80.598,1.139,-2.617e-4,-0.706,0.002,-73.746,89.931,1169.027,343,0.162,0.001,9.786,95.971,70.447,2.552,0,0,1.263,0.461,0.263,0.077,0.121,0.462,0.227,0.579,-3.136e-4,0,0,0,0,-9.34e-5,2.116,90,2.613,804.496,0.001,332.882,0.079,1.929e6,10,78.54,0.05,0.09,0.003
21.271,1904.45,1904.45,-25.409,26.033,-8.819,8.843,240.238,0.163,240.238,89.961,5.667,0.649,28.61,-80.598,0.745,-2.613e-4,1.719,0.004,-73.717,89.931,1169.027,343,0.162,0.001,9.786,96.264,70.447,2.582,0,0,1.3,0.461,0.263,0.077,0.121,0.461,0.147,0.379,-7.417e-5,0,0,0,0,5.36e-4,2.115,90,2.621,804.623,0.001,332.887,0.08,1.96e6,10,78.54,0.05,0.091,0.003
21.321,1903.168,1903.168,-25.847,26.456,-8.711,8.72,240.521,0.163,240.521,89.961,5.641,0.392,28.61,-80.598,0.156,-2.615e-4,2.909,-0.004,-73.595,89.929,1169.027,343,0.162,0.001,9.786,96.714,70.447,2.627,0,0,1.337,0.461,0.263,0.077,0.121,0.461,0.03,0.078,-5.266e-5,0,0,0,0,0.001,2.045,90,2.629,804.753,0.001,332.892,0.081,1.989e6,10,78.54,0.05,0.091,0.003
21.371,1901.865,1901.865,-26.28,26.876,-8.614,8.616,240.802,0.164,240.802,89.961,5.628,0.188,28.61,-80.598,0.302,-2.615e-4,-2.547,-0.012,-73.454,89.928,1169.027,343,0.162,0.001,9.786,96.602,70.447,2.615,0,0,1.378,0.461,0.263,0.077,0.121,0.461,0.059,0.155,1.239e-4,0,0,0,0,-0.001,2.029,90,2.638,804.885,0.001,332.897,0.082,2.019e6,10,78.54,0.05,0.091,0.003
21.421,1900.54,1900.54,-26.709,27.294,-8.534,8.534,241.084,0.164,241.084,89.961,5.621,0.053,28.61,-80.598,0.588,-2.617e-4,-1.409,-0.009,-73.352,89.926,1169.027,343,0.162,0.001,9.786,96.384,70.447,2.594,0,0,1.422,0.461,0.263,0.077,0.121,0.461,0.116,0.3,2.81e-5,0,0,0,0,-3.29e-4,2.068,90,2.646,805.019,0.001,332.903,0.083,2.051e6,10,78.54,0.05,0.091,0.004
21.471,1899.194,1899.194,-27.133,27.71,-8.442,8.443,241.365,0.165,241.365,89.961,5.623,0.124,28.61,-80.598,0.931,-2.619e-4,0.753,-0.008,-73.331,89.924,1169.027,343,0.162,0.001,9.786,96.126,70.447,2.568,0,0,1.466,0.461,0.263,0.077,0.121,0.462,0.185,0.473,6.146e-5,0,0,0,0,9.129e-5,2.023,90,2.655,805.155,0.001,332.908,0.085,2.08e6,10,78.54,0.05,0.091,0.004
21.521,1897.827,1897.827,-27.554,28.123,-8.354,8.359,241.646,0.165,241.646,89.961,5.633,0.296,28.61,-80.598,1.237,-2.611e-4,3.827,-0.008,-73.442,89.923,1169.027,343,0.162,0.001,9.786,95.901,70.447,2.545,0,0,1.509,0.461,0.263,0.077,0.121,0.463,0.247,0.627,-2.177e-5,0,0,0,0,0.002,1.916,90,2.664,805.294,0.001,332.913,0.086,2.108e6,10,78.54,0.05,0.091,0.004
21.571,1896.439,1896.439,-27.969,28.534,-8.294,8.303,241.928,0.166,241.928,89.961,5.651,0.388,28.61,-80.598,1.372,-2.62e-4,7.818,-0.007,-73.731,89.922,1169.027,343,0.162,0.001,9.786,95.803,70.447,2.536,0,0,1.55,0.461,0.263,0.077,0.121,0.463,0.275,0.688,1.658e-4,0,0,0,0,0.009,1.789,90,2.673,805.434,0.001,332.919,0.087,2.136e6,10,78.54,0.049,0.092,0.004
21.62,1895.053,1895.053,-28.377,28.938,-8.293,8.298,242.206,0.166,242.207,89.961,5.668,0.29,28.61,-80.598,1.164,-2.614e-4,11.577,-0.009,-74.21,89.921,1169.027,343,0.162,0.001,9.786,95.956,70.447,2.551,0,0,1.59,0.461,0.263,0.077,0.121,0.463,0.232,0.572,-2.042e-4,0,0,0,0,0.02,1.737,90,2.682,805.574,0.001,332.924,0.088,2.165e6,10,78.54,0.05,0.092,0.004
21.67,1893.624,1893.624,-28.792,29.347,-8.316,8.317,242.49,0.167,242.49,89.961,5.678,0.106,28.61,-80.598,0.81,-2.611e-4,14.516,-0.01,-74.867,89.921,1169.027,343,0.162,0.001,9.786,96.219,70.447,2.577,0,0,1.629,0.461,0.263,0.077,0.121,0.462,0.16,0.382,2.086e-4,0,0,0,0,0.031,1.673,90,2.691,805.719,0.001,332.93,0.089,2.194e6,10,78.54,0.05,0.092,0.004
21.72,1892.174,1892.174,-29.209,29.756,-8.375,8.379,242.774,0.167,242.774,89.961,5.677,0.247,28.61,-80.598,0.178,-2.613e-4,16.122,-0.049,-75.641,89.92,1169.027,343,0.162,0.001,9.786,96.702,70.447,2.625,0,0,1.672,0.461,0.263,0.077,0.121,0.461,0.035,0.054,1.454e-4,0,0,0,0,0.037,1.704,90,2.701,805.866,0.001,332.936,0.09,2.224e6,10,78.54,0.05,0.092,0.004
21.77,1890.703,1890.703,-29.63,30.164,-8.439,8.467,243.057,0.168,243.058,89.96,5.652,0.688,28.61,-80.598,0.569,-2.612e-4,-15.039,-0.021,-76.43,89.919,1169.027,343,0.162,0.001,9.786,96.402,70.447,2.596,0,0,1.721,0.461,0.263,0.077,0.121,0.461,0.112,0.321,-3.101e-4,0,0,0,0,-0.031,1.811,90,2.71,806.015,0.001,332.941,0.092,2.256e6,10,78.54,0.05,0.092,0.004
21.82,1889.211,1889.211,-30.052,30.571,-8.451,8.503,243.339,0.168,243.339,89.96,5.611,0.944,28.61,-80.598,0.964,-2.6e-4,-12.227,-0.01,-77.117,89.92,1169.027,343,0.162,0.001,9.786,96.106,70.447,2.566,0,0,1.77,0.461,0.263,0.077,0.121,0.462,0.191,0.51,3.375e-5,0,0,0,0,-0.02,1.796,90,2.72,806.166,0.001,332.947,0.093,2.286e6,10,78.54,0.05,0.092,0.004
21.87,1887.698,1887.698,-30.475,30.977,-8.446,8.523,243.618,0.169,243.618,89.96,5.559,1.147,28.61,-80.598,1.246,-2.601e-4,-8.283,-0.006,-77.634,89.92,1169.027,343,0.162,0.001,9.786,95.898,70.447,2.545,0,0,1.82,0.461,0.263,0.077,0.121,0.463,0.249,0.643,4.292e-4,0,0,0,0,-0.009,1.82,90,2.73,806.319,0.001,332.953,0.094,2.316e6,10,78.54,0.045,0.092,0.004
21.915,1886.323,1886.323,-30.853,31.34,-8.415,8.501,243.866,0.169,243.866,89.96,5.505,1.201,28.61,-80.598,1.295,-2.598e-4,-4.042,-0.006,-77.911,89.921,1169.027,343,0.162,0.001,9.786,95.863,70.447,2.542,0,0,1.863,0.461,0.263,0.077,0.121,0.463,0.259,0.661,-5.862e-5,0,0,0,0,-0.002,1.836,90,2.739,806.458,0.001,332.959,0.095,2.343e6,10,78.54,0.043,0.093,0.004
21.958,1885.001,1885.001,-31.21,31.683,-8.351,8.417,244.1,0.17,244.1,89.96,5.457,1.05,28.61,-80.597,1.049,-2.603e-4,-0.385,-0.005,-78.003,89.922,1169.027,343,0.162,0.001,9.786,96.044,70.447,2.56,0,0,1.898,0.461,0.263,0.077,0.121,0.462,0.209,0.533,-1.359e-4,0,0,0,0,-1.853e-5,1.775,90,2.747,806.592,0.001,332.964,0.096,2.367e6,10,78.54,0.05,0.093,0.004
22.008,1883.43,1883.43,-31.626,32.085,-8.272,8.317,244.372,0.17,244.372,89.96,5.409,0.859,28.61,-80.597,0.743,-2.608e-4,2.991,-0.004,-77.934,89.923,1169.027,343,0.162,0.001,9.786,96.273,70.447,2.583,0,0,1.943,0.461,0.263,0.077,0.121,0.462,0.147,0.377,-8.765e-5,0,0,0,0,0.001,1.782,90,2.758,806.751,0.001,332.97,0.097,2.396e6,10,78.54,0.05,0.093,0.004
22.058,1881.838,1881.838,-32.037,32.484,-8.183,8.208,244.641,0.171,244.641,89.96,5.372,0.629,28.61,-80.597,0.386,-2.614e-4,5.125,-0.005,-77.725,89.923,1169.027,343,0.162,0.001,9.786,96.545,70.447,2.61,0,0,1.989,0.461,0.263,0.077,0.121,0.461,0.075,0.193,-4.45e-4,0,0,0,0,0.003,1.825,90,2.768,806.912,0.001,332.976,0.099,2.426e6,10,78.54,0.05,0.093,0.004
22.108,1880.226,1880.226,-32.444,32.881,-8.094,8.105,244.909,0.171,244.909,89.96,5.345,0.42,28.61,-80.597,0.062,-2.611e-4,6.058,-0.005,-77.441,89.923,1169.027,343,0.162,0.001,9.786,96.796,70.447,2.635,0,0,2.039,0.461,0.263,0.077,0.121,0.461,0.012,0.028,1.003e-4,0,0,0,0,0.004,1.92,90,2.779,807.075,0.001,332.983,0.1,2.457e6,10,78.54,0.05,0.093,0.004
22.158,1878.594,1878.594,-32.845,33.276,-7.958,7.958,245.176,0.172,245.176,89.96,5.334,0.006,28.61,-80.597,0.522,-2.609e-4,-5.049,-0.003,-77.153,89.923,1169.027,343,0.162,0.001,9.786,96.442,70.447,2.599,0,0,2.087,0.461,0.263,0.077,0.121,0.461,0.102,0.27,3.981e-4,0,0,0,0,-0.003,1.842,90,2.789,807.24,0.001,332.989,0.101,2.485e6,10,78.54,0.05,0.093,0.004
22.208,1876.942,1876.942,-33.24,33.667,-7.849,7.853,245.443,0.172,245.443,89.96,5.342,0.265,28.61,-80.597,0.881,-2.61e-4,-2.049,-0.005,-76.97,89.922,1169.027,343,0.162,0.001,9.786,96.172,70.447,2.572,0,0,2.139,0.461,0.263,0.077,0.121,0.462,0.175,0.449,2.72e-4,0,0,0,0,-4.652e-4,1.814,90,2.8,807.408,0.001,332.996,0.102,2.514e6,10,78.54,0.05,0.093,0.004
22.258,1875.27,1875.27,-33.631,34.055,-7.788,7.795,245.71,0.172,245.71,89.96,5.356,0.333,28.61,-80.597,0.96,-2.601e-4,1.832,-0.005,-76.962,89.921,1169.027,343,0.162,0.001,9.786,96.114,70.447,2.567,0,0,2.19,0.461,0.263,0.077,0.121,0.462,0.19,0.489,4.424e-5,0,0,0,0,3.636e-4,1.84,90,2.811,807.577,0.001,333.002,0.103,2.543e6,10,78.54,0.049,0.094,0.004
22.307,1873.615,1873.615,-34.011,34.433,-7.723,7.736,245.973,0.173,245.973,89.96,5.376,0.451,28.61,-80.597,1.087,-2.607e-4,6.19,-0.005,-77.156,89.92,1169.027,343,0.162,0.001,9.786,96.02,70.447,2.557,0,0,2.236,0.461,0.263,0.077,0.121,0.463,0.216,0.549,-2.326e-4,0,0,0,0,0.004,1.702,90,2.821,807.744,0.001,333.009,0.104,2.569e6,10,78.54,0.043,0.094,0.004
22.349,1872.157,1872.157,-34.34,34.761,-7.694,7.708,246.202,0.173,246.203,89.96,5.396,0.456,28.61,-80.597,1.069,-2.596e-4,10.223,-0.003,-77.507,89.919,1169.027,343,0.162,0.001,9.786,96.034,70.447,2.559,0,0,2.275,0.461,0.263,0.077,0.121,0.463,0.213,0.533,2.527e-5,0,0,0,0,0.011,1.543,90,2.831,807.892,0.001,333.014,0.105,2.591e6,10,78.54,0.043,0.094,0.004
22.393,1870.666,1870.666,-34.673,35.092,-7.736,7.737,246.436,0.174,246.436,89.96,5.409,0.14,28.61,-80.597,0.662,-2.601e-4,13.487,-0.006,-78.025,89.918,1169.027,343,0.162,0.001,9.786,96.339,70.447,2.589,0,0,2.313,0.461,0.263,0.077,0.121,0.462,0.13,0.319,4.172e-4,0,0,0,0,0.019,1.528,90,2.841,808.043,0.001,333.02,0.106,2.615e6,10,78.54,0.05,0.094,0.005
22.443,1868.923,1868.923,-35.061,35.475,-7.772,7.775,246.706,0.174,246.706,89.96,5.408,0.204,28.61,-80.597,0.221,-2.601e-4,15.293,-0.011,-78.752,89.916,1169.027,343,0.162,0.001,9.786,96.676,70.447,2.623,0,0,2.358,0.461,0.263,0.077,0.121,0.461,0.043,0.089,8.78e-5,0,0,0,0,0.023,1.424,90,2.852,808.219,0.001,333.027,0.107,2.642e6,10,78.54,0.05,0.094,0.005
22.493,1867.16,1867.16,-35.45,35.857,-7.823,7.856,246.976,0.175,246.976,89.959,5.385,0.712,28.61,-80.597,0.398,-2.597e-4,-14.694,-0.008,-79.514,89.914,1169.027,343,0.162,0.001,9.786,96.541,70.447,2.609,0,0,2.41,0.461,0.262,0.077,0.122,0.461,0.078,0.224,-8.274e-5,0,0,0,0,-0.021,1.431,90,2.863,808.398,0.001,333.034,0.108,2.671e6,10,78.54,0.05,0.094,0.005
22.543,1865.378,1865.378,-35.842,36.238,-7.845,7.928,247.245,0.175,247.245,89.959,5.338,1.142,28.61,-80.597,0.884,-2.597e-4,-11.4,-0.004,-80.175,89.912,1169.027,343,0.162,0.001,9.786,96.174,70.447,2.573,0,0,2.466,0.461,0.262,0.077,0.122,0.462,0.175,0.463,2.333e-4,0,0,0,0,-0.013,1.44,90,2.875,808.578,0.001,333.041,0.11,2.699e6,10,78.54,0.046,0.094,0.005
22.588,1863.726,1863.726,-36.202,36.585,-7.837,7.96,247.488,0.176,247.488,89.959,5.279,1.397,28.61,-80.597,1.148,-2.588e-4,-6.742,-0.003,-80.596,89.91,1169.027,343,0.162,0.001,9.786,95.979,70.447,2.553,0,0,2.517,0.461,0.262,0.077,0.122,0.463,0.229,0.589,1.602e-4,0,0,0,0,-0.004,1.465,90,2.886,808.745,0.001,333.048,0.111,2.725e6,10,78.54,0.035,0.095,0.005
22.624,1862.44,1862.44,-36.479,36.852,-7.81,7.945,247.674,0.176,247.674,89.959,5.228,1.455,28.61,-80.597,1.193,-2.594e-4,-2.608,-0.004,-80.762,89.91,1169.027,343,0.162,0.001,9.786,95.946,70.447,2.55,0,0,2.555,0.461,0.262,0.077,0.122,0.463,0.238,0.608,-3.406e-5,0,0,0,0,-6.332e-4,1.487,90,2.894,808.875,0.001,333.053,0.111,2.745e6,10,78.54,0.034,0.095,0.005
22.658,1861.202,1861.202,-36.742,37.105,-7.77,7.894,247.85,0.176,247.85,89.959,5.18,1.395,28.61,-80.597,1.111,-2.59e-4,1.305,-0.003,-80.783,89.911,1169.027,343,0.162,0.001,9.786,96.007,70.447,2.556,0,0,2.59,0.461,0.262,0.077,0.122,0.463,0.221,0.565,2.347e-5,0,0,0,0,1.564e-4,1.516,90,2.902,809.001,0.001,333.058,0.112,2.765e6,10,78.54,0.036,0.095,0.005
22.693,1859.881,1859.881,-37.02,37.374,-7.716,7.815,248.034,0.177,248.035,89.959,5.132,1.241,28.61,-80.597,0.929,-2.584e-4,5.036,-0.002,-80.668,89.912,1169.027,343,0.162,0.001,9.786,96.142,70.447,2.57,0,0,2.625,0.461,0.262,0.077,0.122,0.463,0.184,0.471,2.465e-4,0,0,0,0,0.002,1.569,90,2.911,809.134,0.001,333.063,0.113,2.785e6,10,78.54,0.042,0.095,0.005
22.736,1858.305,1858.305,-37.345,37.69,-7.629,7.683,248.251,0.177,248.251,89.959,5.086,0.909,28.61,-80.597,0.557,-2.584e-4,8.288,-0.002,-80.38,89.914,1169.027,343,0.162,0.001,9.786,96.422,70.447,2.597,0,0,2.667,0.461,0.262,0.077,0.122,0.462,0.109,0.278,1.153e-4,0,0,0,0,0.006,1.618,90,2.921,809.294,0.001,333.069,0.114,2.809e6,10,78.54,0.05,0.095,0.005
22.786,1856.429,1856.429,-37.724,38.06,-7.522,7.542,248.504,0.178,248.504,89.959,5.051,0.55,28.61,-80.597,0.153,-2.585e-4,10.004,0.007,-79.914,89.917,1169.027,343,0.162,0.001,9.786,96.733,70.447,2.629,0,0,2.72,0.461,0.262,0.077,0.122,0.462,0.03,0.069,-3.454e-4,0,0,0,0,0.009,1.763,90,2.933,809.484,0.001,333.076,0.115,2.839e6,10,78.54,0.05,0.095,0.005
22.836,1854.533,1854.533,-38.096,38.428,-7.373,7.373,248.756,0.178,248.756,89.959,5.036,0.005,28.61,-80.597,0.44,-2.584e-4,-9.276,0.005,-79.419,89.919,1169.027,343,0.162,0.001,9.786,96.513,70.447,2.607,0,0,2.775,0.462,0.262,0.077,0.122,0.462,0.086,0.232,-2.291e-5,0,0,0,0,-0.007,1.778,90,2.946,809.676,0.001,333.084,0.116,2.866e6,10,78.54,0.05,0.096,0.005
22.886,1852.619,1852.619,-38.462,38.791,-7.263,7.269,249.008,0.179,249.008,89.959,5.045,0.29,28.61,-80.597,0.734,-2.58e-4,-5.746,0.004,-79.037,89.921,1169.027,343,0.162,0.001,9.786,96.29,70.447,2.584,0,0,2.834,0.462,0.262,0.077,0.122,0.462,0.145,0.377,2.566e-4,0,0,0,0,-0.003,1.895,90,2.958,809.869,0.001,333.091,0.117,2.895e6,10,78.54,0.049,0.096,0.005
